,code,type,name,group,market
96,711422,上櫃認購(售)權證,信驊國泰01購01,,上櫃
97,711423,上櫃認購(售)權證,是方國泰9C購01,,上櫃
98,711426,上櫃認購(售)權證,環球晶群益9C購02,,上櫃
99,711427,上櫃認購(售)權證,雙美群益9C購03,,上櫃
100,711428,上櫃認購(售)權證,雙鴻群益9C購02,,上櫃
101,711431,上櫃認購(售)權證,宏捷科元大9C購03,,上櫃
102,711432,上櫃認購(售)權證,精測元大9C購03,,上櫃
103,711433,上櫃認購(售)權證,優群元大9C購01,,上櫃
104,711434,上櫃認購(售)權證,環球晶元大9C購04,,上櫃
105,711436,上櫃認購(售)權證,鈊象元大9C購05,,上櫃
106,711438,上櫃認購(售)權證,久元凱基9C購01,,上櫃
107,711441,上櫃認購(售)權證,弘塑凱基9C購01,,上櫃
108,711442,上櫃認購(售)權證,原相凱基01購01,,上櫃
109,711444,上櫃認購(售)權證,鈊象凱基03購01,,上櫃
110,711446,上櫃認購(售)權證,邦特國票9C購01,,上櫃
111,711447,上櫃認購(售)權證,旺矽國票9C購01,,上櫃
112,711449,上櫃認購(售)權證,合晶統一9C購01,,上櫃
113,711451,上櫃認購(售)權證,雙鴻中信01購01,,上櫃
114,711458,上櫃認購(售)權證,元太國泰01購02,,上櫃
115,711459,上櫃認購(售)權證,譜瑞國泰01購02,,上櫃
116,711460,上櫃認購(售)權證,頎邦國泰9C購01,,上櫃
117,711464,上櫃認購(售)權證,新普群益9C購03,,上櫃
118,711469,上櫃認購(售)權證,大江元大9C購04,,上櫃
119,711470,上櫃認購(售)權證,信驊元大9C購02,,上櫃
120,711474,上櫃認購(售)權證,雍智元大9C購04,,上櫃
121,711475,上櫃認購(售)權證,雙美元大9C購04,,上櫃
122,711479,上櫃認購(售)權證,大學光統一03購01,,上櫃
123,711481,上櫃認購(售)權證,智擎統一9C購01,,上櫃
124,711482,上櫃認購(售)權證,網家統一01購02,,上櫃
125,711483,上櫃認購(售)權證,穩懋統一01購02,,上櫃
126,711486,上櫃認購(售)權證,世界凱基01購01,,上櫃
127,711487,上櫃認購(售)權證,旺矽凱基01購01,,上櫃
128,711490,上櫃認購(售)權證,聯亞凱基01購02,,上櫃
129,711491,上櫃認購(售)權證,大學光兆豐9C購01,,上櫃
130,711494,上櫃認購(售)權證,旺矽元富9C購01,,上櫃
131,711495,上櫃認購(售)權證,信驊元富03購01,,上櫃
132,711496,上櫃認購(售)權證,原相元富03購01,,上櫃
133,711497,上櫃認購(售)權證,網家元富03購01,,上櫃
134,711499,上櫃認購(售)權證,M31國泰02購01,,上櫃
135,711500,上櫃認購(售)權證,新普國泰02購01,,上櫃
136,711501,上櫃認購(售)權證,雙鴻富邦9C購01,,上櫃
137,711502,上櫃認購(售)權證,譜瑞富邦02購01,,上櫃
138,711510,上櫃認購(售)權證,鈊象元大9C購06,,上櫃
139,711514,上櫃認購(售)權證,瓦城統一02購01,,上櫃
140,711515,上櫃認購(售)權證,雙鴻統一9C購03,,上櫃
141,711516,上櫃認購(售)權證,穩懋統一02購01,,上櫃
142,711517,上櫃認購(售)權證,譜瑞統一02購01,,上櫃
143,711519,上櫃認購(售)權證,凡甲凱基9C購01,,上櫃
144,711522,上櫃認購(售)權證,是方凱基9C購01,,上櫃
145,711523,上櫃認購(售)權證,聯亞凱基9C購02,,上櫃
146,711524,上櫃認購(售)權證,雙鴻凱基9C購01,,上櫃
147,711526,上櫃認購(售)權證,鈺太凱基02購01,,上櫃
148,711539,上櫃認購(售)權證,大田國票9C購01,,上櫃
149,711540,上櫃認購(售)權證,直得國票9C購01,,上櫃
150,711541,上櫃認購(售)權證,新普國票9C購01,,上櫃
151,711542,上櫃認購(售)權證,環球晶國票9C購03,,上櫃
152,711543,上櫃認購(售)權證,宏捷科兆豐9C購01,,上櫃
153,711544,上櫃認購(售)權證,精測兆豐9C購01,,上櫃
154,711545,上櫃認購(售)權證,晟德兆豐9C購01,,上櫃
155,711547,上櫃認購(售)權證,宏捷科國泰02購01,,上櫃
156,711548,上櫃認購(售)權證,優群國泰01購01,,上櫃
157,711549,上櫃認購(售)權證,晟德國泰02購01,,上櫃
158,711550,上櫃認購(售)權證,鈊象國泰02購01,,上櫃
159,711551,上櫃認購(售)權證,威剛群益01購01,,上櫃
160,711553,上櫃認購(售)權證,精測群益01購01,,上櫃
161,711554,上櫃認購(售)權證,宏捷科元大01購01,,上櫃
162,711555,上櫃認購(售)權證,原相元大01購03,,上櫃
163,711557,上櫃認購(售)權證,優群元大01購01,,上櫃
164,711560,上櫃認購(售)權證,六角統一02購01,,上櫃
165,711561,上櫃認購(售)權證,瓦城統一01購02,,上櫃
166,711562,上櫃認購(售)權證,直得統一02購01,,上櫃
167,711563,上櫃認購(售)權證,凡甲凱基02購01,,上櫃
168,711564,上櫃認購(售)權證,瓦城凱基02購01,,上櫃
169,711569,上櫃認購(售)權證,大學光國票01購01,,上櫃
170,711570,上櫃認購(售)權證,智擎國票01購01,,上櫃
171,711571,上櫃認購(售)權證,新鉅科國票01購01,,上櫃
172,711573,上櫃認購(售)權證,譜瑞中信06購01,,上櫃
173,711579,上櫃認購(售)權證,原相元富03購02,,上櫃
174,711580,上櫃認購(售)權證,智擎元富03購01,,上櫃
175,711583,上櫃認購(售)權證,元太兆豐01購01,,上櫃
176,711584,上櫃認購(售)權證,合晶兆豐01購01,,上櫃
177,711585,上櫃認購(售)權證,宜鼎兆豐01購01,,上櫃
178,711586,上櫃認購(售)權證,精華兆豐01購01,,上櫃
179,711589,上櫃認購(售)權證,瓦城群益01購01,,上櫃
180,711592,上櫃認購(售)權證,弘塑兆豐01購01,,上櫃
181,711596,上櫃認購(售)權證,原相元大01購04,,上櫃
182,711597,上櫃認購(售)權證,網家元大01購01,,上櫃
183,711600,上櫃認購(售)權證,M31富邦01購01,,上櫃
184,711601,上櫃認購(售)權證,群聯國票01購01,,上櫃
185,711603,上櫃認購(售)權證,穩懋國票01購01,,上櫃
186,711605,上櫃認購(售)權證,譜瑞凱基02購01,,上櫃
187,711606,上櫃認購(售)權證,精測麥證01購01,,上櫃
188,711607,上櫃認購(售)權證,伍豐統一02購01,,上櫃
189,711608,上櫃認購(售)權證,原相統一01購02,,上櫃
190,711616,上櫃認購(售)權證,宏捷科富邦01購01,,上櫃
191,711617,上櫃認購(售)權證,頎邦富邦02購01,,上櫃
192,711620,上櫃認購(售)權證,智擎中信02購01,,上櫃
193,711623,上櫃認購(售)權證,旺矽永豐01購01,,上櫃
194,711627,上櫃認購(售)權證,M31統一01購01,,上櫃
195,711628,上櫃認購(售)權證,伍豐統一01購01,,上櫃
196,711629,上櫃認購(售)權證,智擎統一02購01,,上櫃
197,711631,上櫃認購(售)權證,譜瑞統一02購02,,上櫃
198,711633,上櫃認購(售)權證,力旺凱基01購01,,上櫃
199,711634,上櫃認購(售)權證,宏捷科凱基01購01,,上櫃
200,711636,上櫃認購(售)權證,網家凱基02購01,,上櫃
201,711642,上櫃認購(售)權證,M31凱基01購01,,上櫃
202,711645,上櫃認購(售)權證,優群凱基01購01,,上櫃
203,711648,上櫃認購(售)權證,智擎國泰02購01,,上櫃
