code,type,name,group,market
700098,上櫃認購(售)權證,光頡凱基84購02,,上櫃
700099,上櫃認購(售)權證,光頡凱基84購03,,上櫃
700100,上櫃認購(售)權證,信昌電凱基84購04,,上櫃
700101,上櫃認購(售)權證,信昌電凱基84購05,,上櫃
700102,上櫃認購(售)權證,信昌電凱基84購06,,上櫃
700103,上櫃認購(售)權證,中裕國票84購01,,上櫃
700104,上櫃認購(售)權證,台半國票84購01,,上櫃
700105,上櫃認購(售)權證,金居日盛84購01,,上櫃
700106,上櫃認購(售)權證,威剛日盛84購01,,上櫃
700107,上櫃認購(售)權證,美琪瑪日盛84購01,,上櫃
700108,上櫃認購(售)權證,智擎日盛84購01,,上櫃
700109,上櫃認購(售)權證,昂寶統一87購01,,上櫃
700110,上櫃認購(售)權證,VHQ國泰85購01,,上櫃
700111,上櫃認購(售)權證,元太中信84購01,,上櫃
700112,上櫃認購(售)權證,泰博中信84購01,,上櫃
700113,上櫃認購(售)權證,聯亞兆豐85購01,,上櫃
700114,上櫃認購(售)權證,頎邦兆豐84購01,,上櫃
700115,上櫃認購(售)權證,合晶元富84購01,,上櫃
700116,上櫃認購(售)權證,閎康元富84購01,,上櫃
700117,上櫃認購(售)權證,網家元富84購01,,上櫃
700118,上櫃認購(售)權證,蜜望實元富84購01,,上櫃
700119,上櫃認購(售)權證,千如永豐84購01,,上櫃
700120,上櫃認購(售)權證,大國鋼永豐84購01,,上櫃
700121,上櫃認購(售)權證,台嘉碩永豐84購01,,上櫃
700122,上櫃認購(售)權證,光頡永豐84購03,,上櫃
700123,上櫃認購(售)權證,同致永豐84購01,,上櫃
700124,上櫃認購(售)權證,宇隆永豐84購01,,上櫃
700125,上櫃認購(售)權證,宜鼎永豐84購01,,上櫃
700126,上櫃認購(售)權證,杰力永豐85購01,,上櫃
700127,上櫃認購(售)權證,金居永豐84購01,,上櫃
700128,上櫃認購(售)權證,凱美永豐84購01,,上櫃
700129,上櫃認購(售)權證,華容永豐84購01,,上櫃
700130,上櫃認購(售)權證,網家永豐84購01,,上櫃
700131,上櫃認購(售)權證,優群永豐84購01,,上櫃
700132,上櫃認購(售)權證,鈦昇永豐84購01,,上櫃
700133,上櫃認購(售)權證,瀧澤科永豐84購01,,上櫃
700134,上櫃認購(售)權證,光頡台新86購01,,上櫃
700135,上櫃認購(售)權證,大中群益84購01,,上櫃
700136,上櫃認購(售)權證,中裕群益84購01,,上櫃
700137,上櫃認購(售)權證,台半群益84購01,,上櫃
700138,上櫃認購(售)權證,昂寶群益84購01,,上櫃
700139,上櫃認購(售)權證,昂寶群益84購02,,上櫃
700140,上櫃認購(售)權證,原相群益84購02,,上櫃
700141,上櫃認購(售)權證,精測群益84購01,,上櫃
700142,上櫃認購(售)權證,精測群益84購02,,上櫃
700143,上櫃認購(售)權證,VHQ元大85購01,,上櫃
700144,上櫃認購(售)權證,宇峻元大87購01,,上櫃
700145,上櫃認購(售)權證,宇隆元大84購01,,上櫃
700146,上櫃認購(售)權證,和勤元大87購01,,上櫃
700147,上櫃認購(售)權證,和勤元大87購02,,上櫃
700148,上櫃認購(售)權證,雷科元大87購01,,上櫃
700149,上櫃認購(售)權證,精測元大85購01,,上櫃
700150,上櫃認購(售)權證,聚積元大86購01,,上櫃
700151,上櫃認購(售)權證,環球晶元大84購09,,上櫃
700152,上櫃認購(售)權證,環球晶元大84購10,,上櫃
700153,上櫃認購(售)權證,環球晶元大84購11,,上櫃
700154,上櫃認購(售)權證,環球晶元大84購12,,上櫃
700155,上櫃認購(售)權證,鈦昇元大87購01,,上櫃
700156,上櫃認購(售)權證,中美晶凱基84購03,,上櫃
700157,上櫃認購(售)權證,台燿凱基84購01,,上櫃
700158,上櫃認購(售)權證,尼克森凱基84購01,,上櫃
700159,上櫃認購(售)權證,立敦凱基84購01,,上櫃
700160,上櫃認購(售)權證,宇峻凱基84購01,,上櫃
700161,上櫃認購(售)權證,迅得凱基87購01,,上櫃
700162,上櫃認購(售)權證,佳邦凱基84購01,,上櫃
700163,上櫃認購(售)權證,宜特凱基84購01,,上櫃
700164,上櫃認購(售)權證,宜特凱基85購01,,上櫃
700165,上櫃認購(售)權證,東捷凱基84購01,,上櫃
700166,上櫃認購(售)權證,金山電凱基84購01,,上櫃
700167,上櫃認購(售)權證,金山電凱基85購01,,上櫃
700168,上櫃認購(售)權證,柏文凱基84購01,,上櫃
700169,上櫃認購(售)權證,胡連凱基84購01,,上櫃
700170,上櫃認購(售)權證,盛弘凱基87購01,,上櫃
700171,上櫃認購(售)權證,華容凱基84購01,,上櫃
700172,上櫃認購(售)權證,華容凱基84購02,,上櫃
700173,上櫃認購(售)權證,聯亞凱基84購01,,上櫃
700174,上櫃認購(售)權證,金可富邦85購01,,上櫃
700175,上櫃認購(售)權證,光頡富邦84購01,,上櫃
700176,上櫃認購(售)權證,大江永豐84購01,,上櫃
700177,上櫃認購(售)權證,由田永豐84購01,,上櫃
700178,上櫃認購(售)權證,光頡永豐85購01,,上櫃
700179,上櫃認購(售)權證,東隆興永豐84購01,,上櫃
700180,上櫃認購(售)權證,健亞永豐84購01,,上櫃
700181,上櫃認購(售)權證,緯軟永豐84購01,,上櫃
700182,上櫃認購(售)權證,聯亞永豐84購01,,上櫃
700183,上櫃認購(售)權證,頎邦永豐84購01,,上櫃
700184,上櫃認購(售)權證,博大第一84購01,,上櫃
700185,上櫃認購(售)權證,三貝德國票84購01,,上櫃
700186,上櫃認購(售)權證,大江國票84購01,,上櫃
700187,上櫃認購(售)權證,合晶國票84購01,,上櫃
700188,上櫃認購(售)權證,直得國票84購01,,上櫃
700189,上櫃認購(售)權證,大江統一86購01,,上櫃
700190,上櫃認購(售)權證,大江統一86購02,,上櫃
700191,上櫃認購(售)權證,大江台新85購01,,上櫃
700192,上櫃認購(售)權證,中美晶群益84購03,,上櫃
700193,上櫃認購(售)權證,博大群益84購01,,上櫃
700194,上櫃認購(售)權證,蜜望實群益84購01,,上櫃
700195,上櫃認購(售)權證,蜜望實群益84購02,,上櫃
700196,上櫃認購(售)權證,緯軟群益84購01,,上櫃
700197,上櫃認購(售)權證,環球晶群益84購01,,上櫃
700198,上櫃認購(售)權證,譜瑞群益84購01,,上櫃
700199,上櫃認購(售)權證,信驊元大84購01,,上櫃
700200,上櫃認購(售)權證,大江兆豐84購01,,上櫃
700201,上櫃認購(售)權證,神盾元富84購01,,上櫃
700202,上櫃認購(售)權證,精測元富84購01,,上櫃
700203,上櫃認購(售)權證,博大康和84購01,,上櫃
700204,上櫃認購(售)權證,大中凱基85購01,,上櫃
700205,上櫃認購(售)權證,中美晶凱基84購05,,上櫃
700206,上櫃認購(售)權證,由田凱基84購01,,上櫃
700207,上櫃認購(售)權證,東隆興凱基84購01,,上櫃
700208,上櫃認購(售)權證,東隆興凱基84購02,,上櫃
700209,上櫃認購(售)權證,信驊凱基84購01,,上櫃
700210,上櫃認購(售)權證,宣德凱基84購01,,上櫃
700211,上櫃認購(售)權證,泰博凱基84購01,,上櫃
700212,上櫃認購(售)權證,泰博凱基84購02,,上櫃
700213,上櫃認購(售)權證,博智凱基84購01,,上櫃
700214,上櫃認購(售)權證,緯軟凱基84購01,,上櫃
700215,上櫃認購(售)權證,邦特富邦84購01,,上櫃
700216,上櫃認購(售)權證,頎邦富邦84購02,,上櫃
700217,上櫃認購(售)權證,緯軟凱基84購02,,上櫃
700218,上櫃認購(售)權證,邦特永豐84購01,,上櫃
700219,上櫃認購(售)權證,勝麗永豐84購01,,上櫃
700220,上櫃認購(售)權證,博智永豐84購01,,上櫃
700221,上櫃認購(售)權證,精測永豐84購01,,上櫃
700222,上櫃認購(售)權證,環球晶永豐84購01,,上櫃
700223,上櫃認購(售)權證,中裕元富84購01,,上櫃
700224,上櫃認購(售)權證,中裕中信85購01,,上櫃
700225,上櫃認購(售)權證,台燿兆豐84購01,,上櫃
700226,上櫃認購(售)權證,中裕台新86購01,,上櫃
700227,上櫃認購(售)權證,同致台新86購01,,上櫃
700228,上櫃認購(售)權證,金可台新86購01,,上櫃
700229,上櫃認購(售)權證,金可群益85購01,,上櫃
700230,上櫃認購(售)權證,緯軟群益84購03,,上櫃
700231,上櫃認購(售)權證,大江元大84購02,,上櫃
700232,上櫃認購(售)權證,大江元大84購03,,上櫃
700233,上櫃認購(售)權證,宇隆元大84購02,,上櫃
700234,上櫃認購(售)權證,金居元大85購01,,上櫃
700235,上櫃認購(售)權證,聯亞元大84購03,,上櫃
700236,上櫃認購(售)權證,晟德元大84購02,,上櫃
700237,上櫃認購(售)權證,群聯麥證84購02,,上櫃
700238,上櫃認購(售)權證,神盾統一86購01,,上櫃
700239,上櫃認購(售)權證,環球晶統一87購01,,上櫃
700240,上櫃認購(售)權證,信昌電國泰84購01,,上櫃
700241,上櫃認購(售)權證,聯亞國票84購01,,上櫃
700242,上櫃認購(售)權證,三貝德凱基85購01,,上櫃
700243,上櫃認購(售)權證,大江凱基84購01,,上櫃
700244,上櫃認購(售)權證,立敦凱基84購02,,上櫃
700245,上櫃認購(售)權證,健亞凱基84購01,,上櫃
700246,上櫃認購(售)權證,精測凱基84購02,,上櫃
700247,上櫃認購(售)權證,威剛富邦86購01,,上櫃
700248,上櫃認購(售)權證,晟德富邦84購01,,上櫃
700249,上櫃認購(售)權證,緯軟凱基84購03,,上櫃
700250,上櫃認購(售)權證,緯軟凱基84購04,,上櫃
700251,上櫃認購(售)權證,智崴永豐84購01,,上櫃
700252,上櫃認購(售)權證,元太台新86購01,,上櫃
700253,上櫃認購(售)權證,信昌電群益85購01,,上櫃
700254,上櫃認購(售)權證,信昌電群益85購02,,上櫃
700255,上櫃認購(售)權證,原相群益84購03,,上櫃
700256,上櫃認購(售)權證,勝麗群益84購01,,上櫃
700257,上櫃認購(售)權證,智崴群益84購01,,上櫃
700258,上櫃認購(售)權證,群聯兆豐84購01,,上櫃
700259,上櫃認購(售)權證,三貝德國票84購02,,上櫃
700260,上櫃認購(售)權證,光頡國票84購02,,上櫃
700261,上櫃認購(售)權證,良維國票84購01,,上櫃
700262,上櫃認購(售)權證,神盾國票84購01,,上櫃
700263,上櫃認購(售)權證,碩禾國票84購01,,上櫃
700264,上櫃認購(售)權證,晟德國票84購02,,上櫃
700265,上櫃認購(售)權證,中裕凱基84購02,,上櫃
700266,上櫃認購(售)權證,元太凱基84購01,,上櫃
700267,上櫃認購(售)權證,元太凱基84購02,,上櫃
700268,上櫃認購(售)權證,元太凱基84購03,,上櫃
700269,上櫃認購(售)權證,元太凱基84購04,,上櫃
700270,上櫃認購(售)權證,昂寶凱基85購01,,上櫃
700271,上櫃認購(售)權證,牧德凱基84購01,,上櫃
700272,上櫃認購(售)權證,牧德凱基84購02,,上櫃
700273,上櫃認購(售)權證,神盾凱基84購04,,上櫃
700274,上櫃認購(售)權證,勝麗凱基84購01,,上櫃
700275,上櫃認購(售)權證,環球晶凱基84購01,,上櫃
700276,上櫃認購(售)權證,環球晶凱基84購02,,上櫃
700277,上櫃認購(售)權證,中美晶富邦85購01,,上櫃
700278,上櫃認購(售)權證,精測富邦85購01,,上櫃
700279,上櫃認購(售)權證,頎邦玉山86購01,,上櫃
700280,上櫃認購(售)權證,VHQ元大86購01,,上櫃
700281,上櫃認購(售)權證,三貝德元大86購01,,上櫃
700282,上櫃認購(售)權證,大江元大84購04,,上櫃
700283,上櫃認購(售)權證,大江元大84購05,,上櫃
700284,上櫃認購(售)權證,元太元大84購01,,上櫃
700285,上櫃認購(售)權證,均豪元大86購01,,上櫃
700286,上櫃認購(售)權證,昇達科元大85購01,,上櫃
700287,上櫃認購(售)權證,牧德元大85購01,,上櫃
700288,上櫃認購(售)權證,金可元大84購02,,上櫃
700289,上櫃認購(售)權證,神盾元大85購01,,上櫃
700290,上櫃認購(售)權證,頎邦元大84購02,,上櫃
700291,上櫃認購(售)權證,頎邦元大84購03,,上櫃
700292,上櫃認購(售)權證,中美晶統一87購01,,上櫃
700293,上櫃認購(售)權證,神盾國泰85購01,,上櫃
700294,上櫃認購(售)權證,大江麥證84購02,,上櫃
700295,上櫃認購(售)權證,元太麥證84購02,,上櫃
700296,上櫃認購(售)權證,欣銓麥證84購01,,上櫃
700297,上櫃認購(售)權證,智擎麥證85購01,,上櫃
700298,上櫃認購(售)權證,中裕永豐84購01,,上櫃
700299,上櫃認購(售)權證,立敦永豐85購01,,上櫃
700300,上櫃認購(售)權證,宜特永豐84購01,,上櫃
700301,上櫃認購(售)權證,信昌電永豐84購05,,上櫃
700302,上櫃認購(售)權證,中裕國票84購02,,上櫃
700303,上櫃認購(售)權證,環球晶國票84購04,,上櫃
700304,上櫃認購(售)權證,原相凱基84購01,,上櫃
700305,上櫃認購(售)權證,原相凱基84購02,,上櫃
700306,上櫃認購(售)權證,凱美凱基84購02,,上櫃
700307,上櫃認購(售)權證,雙鴻凱基84購02,,上櫃
700308,上櫃認購(售)權證,神盾富邦84購01,,上櫃
700309,上櫃認購(售)權證,元太統一86購01,,上櫃
700310,上櫃認購(售)權證,頎邦統一86購01,,上櫃
700311,上櫃認購(售)權證,台燿國泰84購01,,上櫃
700312,上櫃認購(售)權證,森鉅群益84購01,,上櫃
700313,上櫃認購(售)權證,環球晶群益84購02,,上櫃
700314,上櫃認購(售)權證,大江元富84購01,,上櫃
700315,上櫃認購(售)權證,中裕元富84購02,,上櫃
700316,上櫃認購(售)權證,元太元富84購01,,上櫃
700317,上櫃認購(售)權證,智擎元富84購01,,上櫃
700318,上櫃認購(售)權證,智擎元富84購02,,上櫃
700319,上櫃認購(售)權證,原相兆豐85購01,,上櫃
700320,上櫃認購(售)權證,頎邦兆豐84購03,,上櫃
700321,上櫃認購(售)權證,中裕麥證86購01,,上櫃
700322,上櫃認購(售)權證,金可麥證84購01,,上櫃
700323,上櫃認購(售)權證,大江永豐84購02,,上櫃
700324,上櫃認購(售)權證,台燿永豐84購02,,上櫃
700325,上櫃認購(售)權證,直得永豐84購02,,上櫃
700326,上櫃認購(售)權證,晶焱永豐84購01,,上櫃
700327,上櫃認購(售)權證,大江統一86購03,,上櫃
700328,上櫃認購(售)權證,中裕統一87購01,,上櫃
700329,上櫃認購(售)權證,晟德統一86購01,,上櫃
700330,上櫃認購(售)權證,頎邦統一86購02,,上櫃
700331,上櫃認購(售)權證,元太國泰84購01,,上櫃
700332,上櫃認購(售)權證,佳邦國泰84購01,,上櫃
700333,上櫃認購(售)權證,岳豐國泰84購01,,上櫃
700334,上櫃認購(售)權證,大宇資國票84購01,,上櫃
700335,上櫃認購(售)權證,大江國票84購02,,上櫃
700336,上櫃認購(售)權證,健喬台新85購01,,上櫃
700337,上櫃認購(售)權證,大江元大84購06,,上櫃
700338,上櫃認購(售)權證,台燿元大84購03,,上櫃
700339,上櫃認購(售)權證,台燿元大84購04,,上櫃
700340,上櫃認購(售)權證,宇隆元大84購03,,上櫃
700341,上櫃認購(售)權證,直得元大86購01,,上櫃
700342,上櫃認購(售)權證,新普元大84購02,,上櫃
700343,上櫃認購(售)權證,新普元大84購03,,上櫃
700344,上櫃認購(售)權證,環球晶元大84購15,,上櫃
700345,上櫃認購(售)權證,頎邦元大84購04,,上櫃
700346,上櫃認購(售)權證,頎邦元大84購05,,上櫃
700347,上櫃認購(售)權證,中美晶群益84購05,,上櫃
700348,上櫃認購(售)權證,中裕群益84購02,,上櫃
700349,上櫃認購(售)權證,伍豐群益84購01,,上櫃
700350,上櫃認購(售)權證,金可群益84購01,,上櫃
700351,上櫃認購(售)權證,金居群益84購01,,上櫃
700352,上櫃認購(售)權證,高技群益84購01,,上櫃
700353,上櫃認購(售)權證,凱美群益84購01,,上櫃
700354,上櫃認購(售)權證,智擎群益84購01,,上櫃
700355,上櫃認購(售)權證,新普群益84購03,,上櫃
700356,上櫃認購(售)權證,環球晶群益84購04,,上櫃
700357,上櫃認購(售)權證,大江凱基84購03,,上櫃
700358,上櫃認購(售)權證,台半凱基84購03,,上櫃
700359,上櫃認購(售)權證,杰力凱基84購01,,上櫃
700360,上櫃認購(售)權證,信昌電凱基84購11,,上櫃
700361,上櫃認購(售)權證,宣德凱基84購02,,上櫃
700362,上櫃認購(售)權證,勝麗凱基84購02,,上櫃
700363,上櫃認購(售)權證,翔名凱基84購01,,上櫃
700364,上櫃認購(售)權證,新普富邦84購01,,上櫃
700365,上櫃認購(售)權證,牧德永豐84購01,,上櫃
700366,上櫃認購(售)權證,原相永豐84購01,,上櫃
700367,上櫃認購(售)權證,環球晶永豐84購02,,上櫃
700368,上櫃認購(售)權證,大江國票84購03,,上櫃
700369,上櫃認購(售)權證,牧德國票84購01,,上櫃
700370,上櫃認購(售)權證,邦特中信85購01,,上櫃
700371,上櫃認購(售)權證,信昌電中信86購01,,上櫃
700372,上櫃認購(售)權證,環球晶中信86購01,,上櫃
700373,上櫃認購(售)權證,晟德中信85購01,,上櫃
700374,上櫃認購(售)權證,泰博兆豐84購01,,上櫃
700375,上櫃認購(售)權證,VHQ元富84購01,,上櫃
700376,上櫃認購(售)權證,大江麥證84購03,,上櫃
700377,上櫃認購(售)權證,大江麥證84購04,,上櫃
700378,上櫃認購(售)權證,大江麥證85購01,,上櫃
700379,上櫃認購(售)權證,中美晶麥證84購02,,上櫃
700380,上櫃認購(售)權證,元太麥證84購03,,上櫃
700381,上櫃認購(售)權證,元太麥證84購04,,上櫃
700382,上櫃認購(售)權證,宜鼎麥證84購01,,上櫃
700383,上櫃認購(售)權證,環球晶麥證84購04,,上櫃
700384,上櫃認購(售)權證,環球晶麥證84購05,,上櫃
700385,上櫃認購(售)權證,環球晶麥證85購01,,上櫃
700386,上櫃認購(售)權證,環球晶麥證85購02,,上櫃
700387,上櫃認購(售)權證,頎邦麥證84購03,,上櫃
700388,上櫃認購(售)權證,神盾台新85購01,,上櫃
700389,上櫃認購(售)權證,頎邦台新85購01,,上櫃
700390,上櫃認購(售)權證,健亞群益84購01,,上櫃
700391,上櫃認購(售)權證,晶焱群益84購02,,上櫃
700392,上櫃認購(售)權證,合晶日盛84購03,,上櫃
700393,上櫃認購(售)權證,新普永昌84購01,,上櫃
700394,上櫃認購(售)權證,環球晶統一87購02,,上櫃
700395,上櫃認購(售)權證,合晶國泰84購02,,上櫃
700396,上櫃認購(售)權證,大江元大85購01,,上櫃
700397,上櫃認購(售)權證,中美晶元大84購07,,上櫃
700398,上櫃認購(售)權證,元太元大84購03,,上櫃
700399,上櫃認購(售)權證,台半元大84購02,,上櫃
700400,上櫃認購(售)權證,直得元大85購01,,上櫃
700401,上櫃認購(售)權證,勝麗元大84購02,,上櫃
700402,上櫃認購(售)權證,環球晶元大84購16,,上櫃
700403,上櫃認購(售)權證,環球晶元大85購01,,上櫃
700404,上櫃認購(售)權證,頎邦元大84購06,,上櫃
700405,上櫃認購(售)權證,大江凱基84購04,,上櫃
700406,上櫃認購(售)權證,宜特凱基84購02,,上櫃
700407,上櫃認購(售)權證,岳豐凱基84購03,,上櫃
700408,上櫃認購(售)權證,信昌電凱基84購12,,上櫃
700409,上櫃認購(售)權證,環球晶凱基84購03,,上櫃
700410,上櫃認購(售)權證,環球晶凱基84購04,,上櫃
700411,上櫃認購(售)權證,環球晶凱基84購05,,上櫃
700412,上櫃認購(售)權證,環球晶凱基84購06,,上櫃
700413,上櫃認購(售)權證,環球晶凱基85購01,,上櫃
700414,上櫃認購(售)權證,環球晶凱基85購02,,上櫃
700415,上櫃認購(售)權證,環球晶凱基85購03,,上櫃
700416,上櫃認購(售)權證,環球晶凱基85購04,,上櫃
700417,上櫃認購(售)權證,環球晶凱基85購05,,上櫃
700418,上櫃認購(售)權證,聯合凱基84購01,,上櫃
700419,上櫃認購(售)權證,晟德凱基84購01,,上櫃
700420,上櫃認購(售)權證,中裕富邦84購01,,上櫃
700421,上櫃認購(售)權證,元太富邦84購02,,上櫃
700422,上櫃認購(售)權證,環球晶富邦85購01,,上櫃
700423,上櫃認購(售)權證,金可永豐84購01,,上櫃
700424,上櫃認購(售)權證,信昌電永豐84購06,,上櫃
700425,上櫃認購(售)權證,合晶國票84購02,,上櫃
700426,上櫃認購(售)權證,美琪瑪日盛84購02,,上櫃
700427,上櫃認購(售)權證,台燿統一86購01,,上櫃
700428,上櫃認購(售)權證,環球晶統一86購02,,上櫃
700429,上櫃認購(售)權證,大江國泰84購02,,上櫃
