dealer,code,BuySell
群益金鼎-大興,1240,11
玉山證券,1240,-5
元富-中壢,1240,3
臺銀-鳳山,1240,-2
元大-內湖,1240,2
新光-台南,1240,-2
國泰-敦南,1240,1
臺銀-臺南,1240,-1
美林,1240,1
統一-桃園,1240,-1
宏遠-新化,1240,1
合庫-桃園,1240,-1
國泰-高雄,1240,1
聯邦-三重,1240,-1
元大-豐原站前,1240,1
國泰-館前,1240,-1
永豐金-敦南,1240,1
群益金鼎-彰化,1240,-1
國票證券,1240,0
富邦-東花蓮,1240,-1
第一金,1240,0
元大-林園,1240,-1
臺銀-金山,1240,0
元大-崇德,1240,-1
臺銀-民權,1240,0
元大-草屯,1240,-1
新光,1240,0
永豐金證券,1240,-1
元大-中壢,1240,0
永豐金-板橋,1240,-1
國泰-板橋,1258,0
國泰-台南,1259,4
元大證券,1259,-4
凱基-竹科,1259,1
富邦-陽明,1259,-2
元大-天母,1259,1
元大-四維,1259,-1
元大-鳳山,1259,1
元大-台南,1259,0
國泰-敦南,1259,0
臺銀-臺南,1259,0
國泰-松江,1259,0
臺銀-臺中,1259,0
華南永昌-小港,1259,0
第一金-台中,1259,0
元富-緯城,1259,0
群益金鼎-中山,1259,0
富邦-新竹,1259,0
永豐金-新莊,1259,0
國泰-敦南,1264,1
永豐金-板新,1264,-3
元大-北港,1264,1
元大證券,1264,-2
兆豐-台中港,1264,1
臺銀-金山,1264,-1
(牛牛牛)亞-鑫豐,1264,1
凱基-台北,1264,-1
華南永昌-台中,1264,1
元大-屏東民生,1264,-1
華南永昌-公誠,1264,1
永豐金-苓雅,1264,1
新光,1264,0
富邦-縣政,1264,0
凱基-高雄,1264,0
統一-嘉義,1264,0
元大-員林中山,1264,0
元大-大益,1264,0
元大-大同,1264,0
國泰-板橋,1264,0
國票證券,1268,76
凱基-站前,1268,-90
港商麥格理,1268,59
國泰證券,1268,-27
摩根大通,1268,39
凱基-和平,1268,-23
元大證券,1268,35
永豐金-松山,1268,-16
統一-南京,1268,29
元富-吉利,1268,-15
凱基,1268,29
元富-城中,1268,-13
美商高盛,1268,20
凱基-新莊,1268,-10
凱基-台北,1268,19
元大-新店中正,1268,-10
新加坡商瑞銀,1268,16
元富-新興,1268,-8
群益金鼎,1268,9
群益金鼎-敦南,1268,-8
富邦證券,1268,8
富邦-鳳山,1268,-8
台灣摩根士丹利,1268,6
致和-南京,1268,-7
群益金鼎-嘉義,1268,6
華南永昌-淡水,1268,-7
玉山-高雄,1268,5
元富-嘉義,1268,-6
港商野村,1268,3
國票-安和,1268,-6
富邦-嘉義,1336,43
宏遠-館前,1336,-69
永豐金-敦南,1336,32
凱基-站前,1336,-35
群益金鼎-鳳山,1336,14
美商高盛,1336,-25
元富-基隆,1336,12
元大-信義,1336,-11
永豐金-市政,1336,10
合庫-自強,1336,-10
中國信託-忠孝,1336,10
美好-富順,1336,-10
富邦-建國,1336,10
群益金鼎-彰化,1336,-10
元大-土城學府,1336,9
新加坡商瑞銀,1336,-9
元大-敦南,1336,9
第一金-忠孝,1336,-6
永豐金-永康,1336,8
美林,1336,-5
中國信託-文心,1336,7
群益金鼎-古亭,1336,-5
第一金-光復,1336,5
富邦-高雄,1336,-5
國泰-敦南,1336,5
永豐金-新莊,1336,-5
凱基-台北,1336,5
合庫-高雄,1336,-4
臺銀,1336,3
元富-三重,1336,-4
元大證券,1565,102
元富-成功,1565,-20
凱基-台北,1565,21
凱基-基隆,1565,-12
摩根大通,1565,15
永興,1565,-11
台灣摩根士丹利,1565,10
玉山-景美,1565,-10
富邦-彰化,1565,9
元大-鳳山,1565,-9
元大-新盛,1565,5
第一金-嘉義,1565,-7
元富-城東,1565,5
第一金-路竹,1565,-7
永豐金-竹北,1565,5
臺銀-新竹,1565,-5
兆豐-天母,1565,5
兆豐-公益,1565,-5
永豐金證券,1565,3
永豐金-復興,1565,-5
亞東-台中,1565,3
富邦-陽明,1565,-5
臺銀-鳳山,1565,3
美林,1565,-4
統一,1565,3
統一-桃園,1565,-4
統一-汐止,1565,3
元富-台中,1565,-4
凱基-虎尾,1565,3
富邦-花蓮,1565,-4
凱基-台北,1569,23
土銀-高雄,1569,-70
元大-高雄,1569,20
統一-竹南,1569,-30
群益金鼎-大興,1569,19
美林,1569,-23
統一-桃園,1569,11
元大-龍潭,1569,-20
國票-天祥,1569,10
美商高盛,1569,-13
玉山-台南,1569,8
光和-嘉義,1569,-10
永豐金-新店,1569,7
臺銀-民權,1569,-8
凱基-復興,1569,6
新加坡商瑞銀,1569,-7
華南永昌-東勢,1569,6
土銀-士林,1569,-5
元大-佳里,1569,6
聯邦商銀,1569,-5
康和-嘉義,1569,5
富邦-陽明,1569,-5
康和-內湖,1569,5
富邦-敦南,1569,-5
康和-高雄,1569,5
統一-台中,1569,-4
新光-台中,1569,5
臺銀-新竹,1569,-3
群益金鼎-新莊,1569,5
台新證券,1569,-3
華南永昌-板橋,1570,20
富邦-仁愛,1570,-32
康和-台中,1570,12
國票-和平,1570,-11
高橋,1570,10
華南永昌-台中,1570,-8
新光,1570,10
亞東-板橋,1570,-7
台新-台中,1570,6
群益金鼎-高雄,1570,-5
兆豐-西螺,1570,5
群益金鼎-三民,1570,-5
元大-草屯,1570,5
台新-左楠,1570,-4
國泰-台中,1570,4
富邦-中壢,1570,-3
群益金鼎-西松,1570,3
元大-板橋,1570,-3
兆豐-寶成,1570,2
元富-潮州,1570,-2
元大-大里,1570,2
元富-林園,1570,-2
國泰-敦南,1570,1
凱基-台北,1570,-2
第一金-中山,1570,1
第一金-台中,1570,-1
盈溢-籬子內,1570,1
玉山-台南,1570,-1
國泰-高雄,1570,1
玉山-台中,1570,-1
大和國泰,1580,50
統一,1580,-50
新光,1580,21
凱基-高雄,1580,-43
亞東,1580,20
康和-內湖,1580,-10
凱基-三重,1580,17
玉山-台南,1580,-10
國泰-敦南,1580,9
元大-景美,1580,-10
元大-林園,1580,5
元大-汐止,1580,-6
元大-屏東,1580,5
美林,1580,-5
元大-成功,1580,5
第一金-新竹,1580,-5
兆豐-員林,1580,4
凱基-台北,1580,-5
臺銀-臺南,1580,3
富邦-台北,1580,-4
美商高盛,1580,3
合庫-高雄,1580,-3
合庫-嘉義,1580,3
元富-草屯,1580,-3
兆豐-彰化,1580,3
兆豐-鹿港,1580,-3
群益金鼎-大甲,1580,3
元大-南崁,1580,-3
元大-文心興安,1580,3
元大-鳳山,1580,-3
新加坡商瑞銀,1584,2162
國票證券,1584,-2908
美林,1584,994
元大證券,1584,-514
元大-信義,1584,265
凱基-台北,1584,-487
摩根大通,1584,251
元大-南屯,1584,-477
元大-竹科,1584,140
凱基,1584,-354
元大-板橋,1584,125
永豐金-鳳山,1584,-298
第一金-嘉義,1584,117
聯邦-忠孝,1584,-264
凱基-中山,1584,117
元富-信義,1584,-261
富邦-新竹,1584,115
凱基-永和,1584,-255
永豐金-竹北,1584,108
國泰證券,1584,-222
元大-潮州,1584,98
統一-城中,1584,-197
元富,1584,97
元富-安南,1584,-186
國泰-敦南,1584,85
統一-仁愛,1584,-179
國泰-台中,1584,78
統一-土城,1584,-175
元大-桃興,1584,70
統一-永和,1584,-175
凱基-竹科,1586,10
元大-大益,1586,-10
國泰證券,1586,4
元富-嘉義,1586,-5
福邦證券,1586,3
華南永昌-高雄,1586,-5
中國信託-中壢,1586,3
安泰-大發,1586,-4
凱基-台北,1586,3
元大-路竹,1586,-2
玉山-大里,1586,2
元大-大甲,1586,-2
統一-三多,1586,2
康和-台南,1586,-1
第一金,1586,2
中國信託-忠孝,1586,-1
富邦-信義,1586,2
合庫證券,1586,-1
元大-台北,1586,2
國泰-敦南,1586,-1
合庫-高雄,1586,1
凱基-彰化,1586,-1
凱基-敦北,1586,1
華南永昌-大安,1586,-1
元大-大里德芳,1586,1
元大-金華,1586,-1
群益金鼎-館前,1586,0
永豐金證券,1586,-1
中國信託,1586,0
凱基-台北,1591,62
高橋,1591,-120
摩根大通,1591,54
大昌-安康,1591,-29
統一-城中,1591,30
華南永昌-三重,1591,-17
中國信託-中壢,1591,30
統一-內湖,1591,-15
元富-信義,1591,22
華南永昌-新莊,1591,-15
富邦-建國,1591,20
新光,1591,-8
群益金鼎-桃園,1591,10
永豐金-萬盛,1591,-8
永豐金證券,1591,10
陽信-高雄,1591,-6
美商高盛,1591,6
元富-文心,1591,-5
美林,1591,6
玉山-左營,1591,-5
新加坡商瑞銀,1591,6
群益金鼎-台北,1591,-5
臺銀-鳳山,1591,5
富邦-中壢,1591,-5
元富-中原,1591,5
元大-蘆洲,1591,-5
元富-世貿,1591,5
永豐金-新竹,1591,-5
群益金鼎-松山,1591,5
統一-敦南,1591,-4
元大-萬華,1593,6
兆豐-新竹,1593,-9
凱基-台北,1593,3
玉山-台中,1593,-7
富邦-新竹,1593,3
兆豐-忠孝,1593,-4
元富-城東,1593,2
群益金鼎-大甲,1593,-3
富邦-東門,1593,1
台新-高雄,1593,-1
富邦-台北,1593,1
富邦-南京,1593,-1
富邦-景美,1593,1
國票-博愛,1593,1
群益金鼎,1593,1
玉山-新莊,1593,1
元大-頭份,1593,1
元大-桃興,1593,1
元大-汐止,1593,1
元大-大甲,1593,1
永豐金-內湖,1593,1
富邦-新竹,1595,5
元大-汐止,1595,-14
新光,1595,4
永豐金-桃盛,1595,-8
群益金鼎-新竹,1595,3
中國信託-新竹,1595,-2
富邦-板橋,1595,2
凱基-台北,1595,-2
康和-板橋,1595,2
元大-東港,1595,-2
台新-新營,1595,2
華南永昌-大安,1595,-1
富邦-宜蘭,1595,2
凱基-竹北,1595,-1
元大-善化,1595,2
群益金鼎-敦南,1595,-1
元大-基隆孝二,1595,2
元大-屏東,1595,-1
台新-高雄,1595,1
群益金鼎-台中,1595,1
陽信-石牌,1595,1
富邦-桃園,1595,1
元大-八德,1595,1
元大-土城永寧,1595,1
元大-四維,1597,10
台新-高雄,1597,-33
美林,1597,10
元大-旗山,1597,-30
摩根大通,1597,5
元大-古亭,1597,-16
凱基-台南,1597,5
群益金鼎-大甲,1597,-5
元富-嘉義,1597,4
元大-屏東,1597,-3
新加坡商瑞銀,1597,4
第一金-彰化,1597,-2
凱基-汐止,1597,4
統一-敦南,1597,-2
合庫-台中,1597,3
富邦-中和,1597,-2
玉山證券,1597,3
群益金鼎-桃園,1597,-1
凱基-台北,1597,3
元富-台南,1597,-1
第一金-路竹,1597,2
國票-南崁,1597,-1
合庫-台南,1597,2
國票-安和,1597,-1
中國信託-嘉義,1597,2
台新證券,1597,-1
兆豐-麻豆,1597,2
新光,1597,-1
玉山-新竹,1597,2
富邦-台東,1597,-1
元富-基隆,1599,15
玉山-士林,1599,-7
凱基-台北,1599,11
兆豐-西螺,1599,-5
凱基-東勢,1599,9
國泰-館前,1599,-5
元大-歸仁,1599,5
臺銀-新竹,1599,-4
臺銀-鳳山,1599,4
(牛牛牛)亞-鑫豐,1599,-4
統一-中壢,1599,4
康和-嘉義,1599,-4
臺銀-臺中,1599,3
國泰-敦南,1599,-4
華南永昌-彰化,1599,3
新光-高雄,1599,-3
富邦-八德,1599,3
玉山-桃園,1599,-3
永豐金-嘉義,1599,3
元大-上新莊,1599,-3
群益金鼎-南京,1599,2
永豐金證券,1599,-3
凱基-敦北,1599,2
台灣企銀-民雄,1599,-2
華南永昌-長虹,1599,2
元富-安南,1599,-2
元富-成功,1599,1
台新-高雄,1599,-2
台中銀-員林,1599,1
國泰-新莊,1599,-2
國票-彰化,1742,3
玉山-景美,1742,-5
陽信-石牌,1742,2
兆豐-大安,1742,-5
玉山-台中,1742,2
中國信託,1742,-4
群益金鼎-大甲,1742,2
(牛牛牛)亞-鑫豐,1742,-1
國泰-高雄,1742,1
第一金-員林,1742,-1
華南永昌-苑裡,1742,1
元大-新營,1742,-1
凱基-彰化,1742,1
元大-北府,1742,1
元大-東泰,1742,1
元大-華山,1742,1
元大-大甲,1742,1
永豐金-三重,1742,1
安泰,1742,0
元大-永春,1742,0
玉山證券,1742,0
美商高盛,1752,729
元大-南屯,1752,-622
台灣摩根士丹利,1752,712
富邦-文化,1752,-601
國票-敦北法人,1752,384
中國信託-松江,1752,-496
統一-南京,1752,288
元富-安南,1752,-442
新加坡商瑞銀,1752,287
富邦-高雄,1752,-340
摩根大通,1752,265
美林,1752,-214
第一金-桃園,1752,189
元大-左營,1752,-135
台新證券,1752,121
凱基-台北,1752,-133
港商野村,1752,109
元大-竹科,1752,-91
永豐金-板盛,1752,96
永豐金-員林,1752,-86
元大-博愛,1752,78
元大-大里德芳,1752,-76
中國信託-忠孝,1752,62
群益金鼎,1752,-67
凱基-中港,1752,52
宏遠-高雄,1752,-54
富邦-永和,1752,52
凱基-中山,1752,-54
兆豐-新竹,1752,51
兆豐-虎尾,1752,-52
新光,1777,150
台灣摩根士丹利,1777,-34
富邦-台北,1777,10
元大-新營,1777,-22
元大-左營,1777,9
第一金-台中,1777,-14
第一金-桃園,1777,8
中國信託,1777,-14
凱基-汐止,1777,7
台灣企銀-太平,1777,-10
凱基-城中,1777,6
兆豐-新營,1777,-10
台新-台南,1777,5
永豐金-新竹,1777,-10
富邦-新店,1777,5
新光-高雄,1777,-7
新加坡商瑞銀,1777,4
永全證券,1777,-7
日茂-南投,1777,4
富邦-府城,1777,-7
北城證券,1777,4
元富-高雄,1777,-6
摩根大通,1777,4
元富-板橋,1777,-6
元大-發財,1777,4
兆豐-寶成,1777,-6
港商野村,1777,3
元大-中壢,1777,-5
統一,1777,3
群益金鼎-新店,1777,-4
致和證券,1781,20
第一金-中山,1781,-10
群益金鼎-三重,1781,15
玉山-大里,1781,-10
中國信託-文心,1781,6
元大-鑫永和,1781,-10
高橋-內壢,1781,5
元大-嘉義,1781,-10
富邦-中壢,1781,5
群益金鼎-竹南,1781,-8
元大-南勢角,1781,4
元大-新營,1781,-5
臺銀,1781,3
元富-同大,1781,-3
國泰-敦南,1781,2
元富-嘉義,1781,-2
台新證券,1781,2
永興-大墩,1781,-2
第一金-澎湖,1781,2
玉山-嘉義,1781,-2
凱基-頭份,1781,2
凱基-雙和,1781,-2
華南永昌-高雄,1781,2
元大-屏南,1781,-2
富邦-新店,1781,2
元大-和平,1781,-2
台新-新莊,1781,1
華南永昌-南京,1781,-1
國泰-台中,1781,1
兆豐-高雄,1781,-1
國票-長城,1784,380
永豐金-板橋,1784,-490
新加坡商瑞銀,1784,157
元富-台南,1784,-80
台灣摩根士丹利,1784,85
群益金鼎-南京,1784,-40
美商高盛,1784,64
國票-北高雄,1784,-37
元大-員林中山,1784,41
第一金-大稻埕,1784,-33
富邦-員林,1784,36
玉山-雙和,1784,-20
凱基-台北,1784,26
凱基-站前,1784,-18
元大-基隆孝二,1784,25
華南永昌-台南,1784,-17
華南永昌-南京,1784,22
港商野村,1784,-16
永豐金證券,1784,21
群益金鼎-士林,1784,-16
元大-左營,1784,17
康和-板橋,1784,-15
台新證券,1784,16
凱基-桃園,1784,-14
新光,1784,15
群益金鼎-高盛,1784,-14
元大-新莊,1784,12
富邦-台北,1784,-14
元大-新竹經國,1784,11
凱基-中壢,1784,-13
凱基-台北,1785,241
群益金鼎-新竹,1785,-60
新加坡商瑞銀,1785,143
元富,1785,-57
美商高盛,1785,79
元大-土城,1785,-55
港商野村,1785,65
台灣企銀-台南,1785,-50
摩根大通,1785,42
富邦-陽明,1785,-49
台新-三民,1785,25
元大-北投,1785,-48
臺銀,1785,21
元大-台中,1785,-33
元大-雙和,1785,20
兆豐-復興,1785,-30
元大-萬華,1785,19
第一金-台南,1785,-28
兆豐-鹿港,1785,15
元大證券,1785,-20
台中銀-員林,1785,12
元大-竹科,1785,-20
新光,1785,12
凱基-湖口,1785,-17
玉山證券,1785,11
玉山-高雄,1785,-16
中國信託-永康,1785,11
永豐金證券,1785,-16
台新-台中,1785,11
合庫-台南,1785,-12
國泰-板橋,1788,6
元富,1788,-12
台新-新營,1788,5
群益金鼎-屏東,1788,-2
凱基-嘉義,1788,2
永豐金-板盛,1788,-2
德信,1788,2
凱基-豐中,1788,-1
華南永昌-忠孝,1788,2
統一-仁愛,1788,-1
元大-員林,1788,2
元富-台中,1788,-1
國泰-敦南,1788,2
中國信託-永康,1788,-1
富邦-木柵,1788,1
國票-南京,1788,-1
中國信託-松江,1788,1
台新證券,1788,-1
兆豐-天母,1788,1
玉山-台南,1788,-1
致和-金華,1788,1
凱基-竹北,1788,-1
玉山-嘉義,1788,1
凱基-台北,1788,-1
凱基-中山,1788,1
富邦-新板,1788,-1
凱基-斗六,1788,1
富邦-台北,1788,-1
元大證券,1788,1
永豐金-大園,1788,-1
元富-台中,1795,189
美商高盛,1795,-139
兆豐-北高雄,1795,48
新加坡商瑞銀,1795,-77
兆豐-東門,1795,36
富邦證券,1795,-71
元大-雙和,1795,36
凱基-台北,1795,-64
元大-忠孝,1795,31
美林,1795,-61
兆豐-景美,1795,27
元富-永和,1795,-46
新光-高雄,1795,17
富邦-台北,1795,-41
統一-士林,1795,16
富邦-二林,1795,-40
元大-清水,1795,16
中國信託,1795,-37
兆豐-台中港,1795,16
國票證券,1795,-34
元大證券,1795,15
統一-城中,1795,-33
華南永昌,1795,15
華南永昌-長虹,1795,-31
元大-東泰,1795,15
群益金鼎-三民,1795,-30
永豐金-板橋,1795,14
合庫-台中,1795,-23
國票-敦北法人,1795,14
台灣摩根士丹利,1795,-23
國泰-忠孝,1796,122
富邦-仁愛,1796,-40
摩根大通,1796,42
華南永昌-岡山,1796,-33
美林,1796,21
國票-南科,1796,-30
玉山-雙和,1796,20
凱基-板橋,1796,-21
凱基-三多,1796,20
群益金鼎,1796,-20
元大證券,1796,17
元大-台中中港,1796,-19
港商野村,1796,12
富邦-南京,1796,-19
富邦-新竹,1796,9
富邦-基隆,1796,-12
永豐金-南投,1796,9
元大-仁愛,1796,-11
元大-鑫永和,1796,7
元大-桃園,1796,-9
元富-同大,1796,7
台灣企銀-嘉義,1796,-8
凱基-台北,1796,7
群益金鼎-高盛,1796,-8
大昌-樹林,1796,6
富邦-台南,1796,-8
凱基-復興,1796,6
新光,1796,-7
富邦-斗六,1796,6
新光-台中,1796,-6
第一金,1799,12
第一金-彰化,1799,-5
凱基-三重,1799,8
國票-九鼎,1799,-4
元富-新店,1799,3
元大-金華,1799,-4
元大-信義,1799,3
新光,1799,-3
群益金鼎-台中,1799,2
第一金-華江,1799,-3
元大-西門,1799,1
元富-中港,1799,-2
元大-中和,1799,0
元大-仁愛,1799,-2
富邦-大墩,1799,0
元大-館前,1799,-1
永豐金-苓雅,1799,0
群益金鼎-土城,1799,-1
臺銀-高雄,1799,0
富邦-南屯,1799,-1
元大-天母,1813,10
元大-桃園,1813,-9
元大-中壢,1813,1
群益金鼎-敦南,1813,-1
國泰-新莊,1813,0
永豐金證券,1813,-1
國泰-敦南,1813,0
台新-高雄,1813,0
華南永昌-新莊,1813,0
富邦-新店,1815,40
凱基-高雄,1815,-120
兆豐-員林,1815,30
永全-八德,1815,-90
美好-泰山,1815,29
台新-高雄,1815,-52
群益金鼎-彰化,1815,21
凱基-台北,1815,-32
大昌-安康,1815,20
京城,1815,-22
元大-內湖,1815,20
元大-北投,1815,-21
宏遠證券,1815,18
永豐金-南京,1815,-16
華南永昌-楠梓,1815,15
元富-中原,1815,-11
美林,1815,13
康和-石牌,1815,-10
永豐金-桃園,1815,12
合庫-自強,1815,-10
玉山-高雄,1815,10
元大-台中,1815,-10
臺銀-新竹,1815,10
元大-大益,1815,-10
盈溢,1815,10
永豐金-嘉義,1815,-10
福邦-新竹,1815,10
新加坡商瑞銀,1815,-9
兆豐-忠孝,1815,10
致和-台北,1815,-7
臺銀,2035,18
凱基-東門,2035,-6
永豐金-鳳山,2035,5
元大-承德,2035,-6
聯邦-高雄,2035,2
玉山-數位,2035,-5
凱基-台北,2035,2
富邦-台北,2035,-5
富邦-鳳山,2035,1
國泰-敦南,2035,-2
元富-緯城,2035,1
統一-員林,2035,-1
康和-板橋,2035,0
國票-北高雄,2035,-1
永豐金-市政,2035,0
元富-潮州,2035,-1
台新-高雄,2035,0
富邦-桃園,2035,-1
統一-中壢,2061,24
新光,2061,-85
元大-東蘆,2061,23
永豐金-大園,2061,-49
群益金鼎-大興,2061,20
國泰-館前,2061,-28
統一-士林,2061,18
元大-佳里,2061,-20
統一-仁愛,2061,13
凱基-永華,2061,-13
台新-高雄,2061,10
富邦-三重,2061,-10
華南永昌-麻豆,2061,10
凱基-台北,2061,-9
臺銀-民權,2061,6
國票-北高雄,2061,-5
臺銀-鳳山,2061,5
元大-福營,2061,-5
亞東-高雄,2061,5
元大-新營,2061,-4
台新-左楠,2061,5
富邦-府城,2061,-3
台新-新營,2061,5
元大-大灣,2061,-2
元大-屏南,2061,5
元大-板橋,2061,-2
中國信託-三重,2061,4
兆豐-新營,2061,-1
國票-九鼎,2061,4
凱基-台東,2061,-1
富邦-左營,2063,141
永豐金-苓雅,2063,-169
聯邦-富強,2063,11
台新證券,2063,-9
凱基-三多,2063,11
元大-新莊,2063,-9
新百王,2063,10
美商高盛,2063,-7
國泰-敦南,2063,5
國票-天祥,2063,-5
第一金-華江,2063,5
摩根大通,2063,-5
聯邦-高雄,2063,5
凱基-台北,2063,-5
富邦-竹北,2063,5
臺銀-臺南,2063,-4
元大-新竹,2063,5
兆豐-高雄,2063,-4
元大-發財,2063,5
永豐金-大園,2063,-4
康和-南崁,2063,4
新光,2063,-3
元富-大裕,2063,3
第一金-自由,2063,-3
華南永昌-東昇,2063,3
新光-桃園,2063,-3
元大-城東,2063,3
國泰-館前,2063,-3
統一-城中,2063,2
元大-彰化民生,2063,-3
元大-中壢,2064,3
元大-左營,2064,-10
台新-三民,2064,2
元大-鹿港,2064,-5
兆豐-北高雄,2064,2
日茂,2064,-2
統一-台南,2064,2
國票-南科,2064,-1
群益金鼎-嘉義,2064,2
台新-台中,2064,-1
元富-台中,2064,1
新光-高雄,2064,-1
統一-員林,2064,1
新光,2064,-1
臺銀-鳳山,2064,1
華南永昌-鳳山,2064,-1
兆豐-民生,2064,1
永豐金-桃園,2064,-1
台新證券,2064,1
兆豐-寶成,2064,1
台新-新營,2064,1
國泰-台中,2064,1
元大-新莊,2064,1
元大-淡水,2064,1
美商高盛,2065,10
新加坡商瑞銀,2065,-16
台灣摩根士丹利,2065,7
永豐金證券,2065,-15
富邦-三峽,2065,7
元大-大益,2065,-15
元富-潮州,2065,6
群益金鼎-北高雄,2065,-5
統一-中壢,2065,5
永豐金-高雄,2065,-5
富邦-三重,2065,5
元大-楊梅,2065,-4
元大-新莊,2065,5
元富-烏日,2065,-3
兆豐-來福,2065,4
新光-桃園,2065,-3
國泰-敦南,2065,3
凱基-竹科,2065,-3
元大-彰化,2065,3
中國信託,2065,-2
元大-館前,2065,3
亞東-台南,2065,-2
中國信託-中壢,2065,2
摩根大通,2065,-2
國票-敦北法人,2065,2
群益金鼎-海山,2065,-2
元大-竹山,2065,2
永豐金-台南,2065,-2
元大-景美,2065,2
元大-台南,2065,-1
富邦-文化,2066,299
華南永昌-小港,2066,-220
元大-竹科,2066,122
富邦-南員林,2066,-142
國泰-敦南,2066,55
兆豐-岡山,2066,-95
兆豐-桃鶯,2066,35
摩根大通,2066,-90
統一,2066,32
富邦-左營,2066,-70
富邦-嘉義,2066,31
統一-台中,2066,-58
新光,2066,30
兆豐-板橋,2066,-58
元大-博愛,2066,29
美商高盛,2066,-55
富邦-台中,2066,27
新加坡商瑞銀,2066,-55
元大-板橋,2066,27
凱基-台中,2066,-50
華南永昌,2066,27
元富-文心,2066,-43
凱基-三重,2066,23
元大-金華,2066,-41
永豐金-新竹,2066,21
台灣摩根士丹利,2066,-36
元富-世貿,2066,21
第一金-高雄,2066,-25
群益金鼎-內湖,2066,20
致和-崇德,2066,-25
永豐金-忠孝,2067,42
(牛牛牛)亞-網路,2067,-65
永豐金-中盛,2067,26
大昌-樹林,2067,-10
永豐金-竹科,2067,10
凱基-台中,2067,-6
永豐金-苓雅,2067,8
大昌,2067,-5
永豐金證券,2067,6
聯邦-雙和,2067,-5
元大-和平,2067,5
新光-高雄,2067,-3
兆豐-嘉義,2067,5
元富,2067,-2
國票-北投,2067,4
富邦-北桃園,2067,-2
凱基-土城,2070,81
國泰-台中,2070,-71
凱基-板橋,2070,11
台中銀,2070,-10
凱基-台南,2070,1
凱基-台北,2070,-4
富邦-陽明,2070,1
玉山-台南,2070,-2
元大-楊梅,2070,0
元大-新莊,2070,-2
元大-西螺,2070,0
玉山-城中,2070,-1
臺銀-金山,2070,0
第一金-桃園,2070,-1
台新-高雄,2070,0
華南永昌,2070,-1
元大-中和,2221,45
美好-苗栗,2221,-11
元大-雙和,2221,6
美好-富順,2221,-10
國票-博愛,2221,5
群益金鼎-大甲,2221,-10
元大-永和,2221,4
元大-文心,2221,-10
國票-南京,2221,3
兆豐-鹿港,2221,-7
凱基-竹科,2221,3
群益金鼎-海山,2221,-6
永豐金-桃園,2221,3
元富-大裕,2221,-5
元富-新店,2221,2
元大-竹東,2221,-5
群益金鼎-台中,2221,2
永豐金-大園,2221,-5
群益金鼎-鳳山,2221,2
美商高盛,2221,-4
群益金鼎-東門,2221,2
大昌-新竹,2221,-4
凱基-永和,2221,2
大昌,2221,-3
華南永昌-嘉義,2221,2
兆豐-新莊,2221,-3
富邦-新竹,2221,2
群益金鼎-永和,2221,-3
元大-沙鹿,2221,2
新加坡商瑞銀,2221,-2
統一,2230,65
華南永昌-南京,2230,-81
港商野村,2230,58
凱基-台南,2230,-50
永豐金-新店,2230,44
凱基-台北,2230,-47
華南永昌-三重,2230,25
元大-前金,2230,-34
第一金-新興,2230,23
凱基-和平,2230,-17
新加坡商瑞銀,2230,16
摩根大通,2230,-14
元大-木柵,2230,16
永豐金-內湖,2230,-12
國票-南科,2230,15
富邦-建國,2230,-11
富邦-木柵,2230,14
元大-仁愛,2230,-11
元大證券,2230,11
元大-龍潭,2230,-10
國票-中正,2230,10
元富-吉利,2230,-10
永豐金-古亭,2230,8
新光,2230,-10
中國信託-松江,2230,7
國泰-館前,2230,-8
元大-中壢,2230,7
大昌-桃園,2230,-7
第一金-高雄,2230,5
富邦-雙和,2230,-7
美商高盛,2233,40
新加坡商瑞銀,2233,-46
摩根大通,2233,21
富邦-南員林,2233,-35
凱基-竹北,2233,18
富邦-台北,2233,-34
永豐金證券,2233,15
國泰-松江,2233,-19
凱基-五股,2233,14
永全-南崁,2233,-18
永豐金-台南,2233,11
元大-斗六,2233,-17
國票-安和,2233,8
凱基-台北,2233,-15
元富,2233,7
元大證券,2233,-13
北城證券,2233,7
永豐金-信義,2233,-13
華南永昌-台中,2233,7
統一-台中,2233,-11
兆豐-民生,2233,6
凱基-長庚,2233,-10
元大-新生,2233,6
兆豐-北高雄,2233,-10
元大-新竹經國,2233,6
凱基-林口,2233,-10
元大-信義,2233,6
永豐金-三重,2233,-10
國票證券,2233,5
土銀-新竹,2233,-8
永豐金-新竹,2235,2
第一金-華江,2235,-1
元大-鳳中,2235,1
元大-中壢,2235,-1
國泰-新莊,2235,0
群益金鼎-南京,2235,-1
永豐金-中正,2596,17
富邦-建國,2596,-25
第一金-自由,2596,12
永豐金-桃盛,2596,-20
元富-文心,2596,10
凱基-基隆,2596,-5
凱基-台北,2596,8
元富-吉利,2596,-4
國泰-板橋,2596,7
富邦-內湖,2596,-3
元大-東蘆,2596,5
富邦-彰化,2596,-2
富邦-南京,2596,4
兆豐-公益,2596,-2
元大-向上,2596,3
康和,2596,-2
國泰-敦南,2596,2
台新-高雄,2596,-2
元富-桃園,2596,2
統一-敦南,2596,-2
玉山-嘉義,2596,1
永豐金-板新,2596,-2
高橋-龍潭,2596,1
彰銀-台中,2596,-1
群益金鼎-建成,2596,1
土銀-和平,2596,-1
凱基-永和,2596,1
新光,2596,-1
富邦-中港,2596,1
華南永昌,2596,-1
