person_id:ID,name,:LABEL
24f9b886589d55eeb098196a5469d843,泓豐投資(股)-鍾育霖,Person
aeae400106a62f8b424ebee92ecf9603,李清揚,Person
a79beba5fd1e41405ba4a7b8cd3d9e2b,財政部-許國郎,Person
b5540fb6330db42b9791761852074a0a,張毓菁,Person
7b8d372de185eed7f1dc52faf5955c0a,顧剛維,Person
ece077184780bae21da8cd52eeea2848,李長斌,Person
75a710c6964610cee7c8963cdc7f930c,行政院國發會-龔明鑫,Person
c2a648ed1f418bb24fa44ea533c78c75,均豪精密工業(股)-陳政興,Person
3629aab3c88bfac919d44a2a0589644b,彭彥倫,Person
51faa3d5a4e361a5177375188ad97bcc,溫昇樺,Person
3cad5b9dc02d87463b96a391c40fbfa1,黃淑玲,Person
a4914b33928f7afc10b8c75ce5ca7668,黃錦華,Person
b1d10c5b93e50ae31347ba3c63ea34cf,尤山泉,Person
5fa351dcbc80ae61c30e2c721eeff034,鍾曉瑩,Person
668910f42045fbd20343d8db80c26ace,蔡榮法,Person
b61eb57b831d6c41fa9ffbfe2af21fc2,陳品呈,Person
1a9c0ccb9db6065eab63f3801516aaac,黃渝晴,Person
adf1e0b164ffd3b2cde89b8aec19404b,馬中迅,Person
fe3fd00ddf85751c2646cf465cb5a765,許嘉宏,Person
62367494ba7ff63328e70281b1418368,聯華電子(股),Person
ed09145edd891788f166b0ec17585a49,蔡燈岳,Person
a21b535c70fb338287fb0e0d85a6b145,姚佩珊,Person
8238789fda70c0638449d70f1404bc71,許碧真,Person
97f2b55fc1334f0f0c724b62d0161c01,劉自明,Person
9fe3ced7e4387b42ee8ca022e9b817c0,程尚楷,Person
cce8c572b9c81eaa8bf49a92a9285329,童愛琳,Person
3656548b44b8fd7901c7b5bb5a6db6e7,鍾國圳,Person
f1265f21c39d5f09c6c7b71b94c1f6e8,王嶠奇,Person
fddc7c1565dbb9936a71c1d087809342,廣達電腦(股)-楊俊烈,Person
