:START_ID,jobs,stock_num:int,:END_ID,:TYPE
eafa74ad566c8ccb124cc997cab5db16,獨立董事,40,1336,employ_of
5f0cd09ef2e4f7ca03dcffa976129796,董事兼副總經理,22599,1336,employ_of
36c6012cd75906bb94beaf23deaccca5,董事長兼總經理,22599,1336,employ_of
3e5c16dbc56eadbbb17d409ba3c98361,董事,22599,1336,employ_of
fdabd75deec5cba91bde584eda154d29,董事,670,1336,employ_of
43920cb4222b950b025ffc82c6305f23,副總經理,37,1336,employ_of
5fb30f4fed7e34861794a119e3e63975,協理/財會主管,112,1336,employ_of
faa16edf3c01290fd184404cc5196de7,協理,0,1336,employ_of
6c7d710fafb0efae6a6a034d00c07788,協理,259,1336,employ_of
c4e7ec3bc7e9f529f17e871c0ac21ed7,獨立董事,0,1565,employ_of
28cb305496b2c85951c887951977e9b3,獨立董事,0,1565,employ_of
6aa1cfd01eaa2225d926401e0b1c699f,獨立董事,0,1565,employ_of
5bf4c239a19fdefbd7c5175c44e601a4,董事兼總經理,1389,1565,employ_of
6429a849edbf694d99d63322f53ebce2,董事長兼副總經理,1751,1565,employ_of
665783f01c8980eb282640c02f5903fc,董事,204,1565,employ_of
94ffefb86e410f79086c57e03f500d41,董事,402,1565,employ_of
d079e4a705b2f965cbb458204e8084ac,董事,297,1565,employ_of
cde9d8258a04182603bdd6ae05db6246,副總經理,294,1565,employ_of
515210ef516d9eaeb70144e6d9b7936d,財會主管,0,1565,employ_of
bc6fbe024aeb8a7973ab471f2341504a,法人代表,129,1565,employ_of
b9c64214b5e97d40aea34cfa75a390ac,獨立董事,0,1569,employ_of
774ac1509adf3cba9bcef4ef92ac699a,獨立董事,0,1569,employ_of
52c0b7b64d74425c122ebb2bb106f78a,獨立董事,0,1569,employ_of
d0a1ae8a0311770a5d85a6655eb256aa,董事兼總經理,7770,1569,employ_of
f2c115b43e286bbc2b442d3ca737e443,董事兼副總經理/財,74,1569,employ_of
ee5b49ffb9c1b2f2a636debd752ddf14,董事兼副總經理,299,1569,employ_of
e5007ed11256676f3a941c1868685763,董事兼副總經理,20,1569,employ_of
08be78c37c26201e57b56b65306b101e,董事長,9871,1569,employ_of
751653aec68864127445d962d90d9635,董事,4,1569,employ_of
70c98a46e6d6c16c02206559eb2f9d7f,董事,0,1569,employ_of
17513c3ab6203ef22cde5cb556a1b494,協理,0,1569,employ_of
cad4dc54780413bffaa96853a7094240,協理,0,1569,employ_of
76b470617bddce0b38985e7f2d2ec037,協理,0,1569,employ_of
c4f7cbc26d87c9050cf41b1eb7d8b7cf,協理,62,1569,employ_of
09e10a3b8bfeacfe8b36865d79222fee,獨立董事,0,1570,employ_of
7b599f3946cf215ccee48bf0adedb52b,獨立董事,0,1570,employ_of
aa0115b88c1273c9c5eeefa1f9799bb4,獨立董事,0,1570,employ_of
f1ee2892b007f2648a5a62cfff73998d,董事長兼總經理,355,1570,employ_of
d64656e9b37c11fe191a719172aa061c,董事,183,1570,employ_of
dc55518f0cc6b0b31440f9b87965c314,董事,3407,1570,employ_of
3b53f30bf3cbfcd87bdcf993e194c337,董事,504,1570,employ_of
e984775bdd7d8422a48af515a42b5fe2,董事,1405,1570,employ_of
55332b6ece0ad090c1b77ae2164e8989,董事,409,1570,employ_of
3ed6300d34e260c2713d6c4dbee14799,協理/財會主管,0,1570,employ_of
ebd328da022c31ec0b4f3d8825e972e6,獨立董事,0,1580,employ_of
b4333ce7f483c85e6dbc3afb4744ee1e,獨立董事,0,1580,employ_of
c35bb81152a4c3e9940937739d06f3cc,獨立董事,0,1580,employ_of
7821f3b74e9ae7c82631254a8fb195a8,董事兼副總經理,124,1580,employ_of
243acdd9802b0cab6702fe436155efa3,董事長兼總經理,2211,1580,employ_of
3f1087db7dc08a8b07fa96469dd3858d,董事,2113,1580,employ_of
46712fe052e99e57163924283cbbc4e5,董事,12,1580,employ_of
b5f679db5917e559c63e00818e6d301c,董事,381,1580,employ_of
a327368a3fdfcd325475b4404a99c39e,董事,1789,1580,employ_of
385f34467a5dd22caeafecd882d0c70c,經理,0,1580,employ_of
79dc885448f5a12c561cccc952b23ec0,經理,0,1580,employ_of
957e5fe1e3a8833fd8643fb3d38efd43,經理,0,1580,employ_of
4ef0dc082d5fdbeb71abe6a375d93fb3,會計主管,0,1580,employ_of
e85c90392fa849726b75dbf5c813a6bd,協理,0,1580,employ_of
169cc8c568755262a10b4a78f9151dfb,協理,0,1580,employ_of
d6ca08cb6d391e62f627550ec4c20d76,其他,11,1580,employ_of
e8ef7ee8e06cf45309d6e14485e55bfc,總經理,200,1584,employ_of
41baeee328f5a2c005eb0378b915e414,獨立董事,0,1584,employ_of
