:START_ID,amount:int,:END_ID,:TYPE
bd20a05f9960ff40823f909ba2adfaea,11,1240,buy_or_sell
f0772aeb5297ee84101c8b14dc60ee4a,-5,1240,buy_or_sell
f6294ccaec552aab108387b94c403584,3,1240,buy_or_sell
d4d7143196e9bd7f88aeb30402fed022,-2,1240,buy_or_sell
0422521c8db2ef7b3f0fe55d3198aed2,2,1240,buy_or_sell
4ae84832c7aba26009c4ac78aceaa8af,-2,1240,buy_or_sell
0f18997c179947ac4e31195fadf111d9,1,1240,buy_or_sell
aeeb1f897d397f888e899d5227175211,-1,1240,buy_or_sell
1b1a8637036ae1e6a4f01618527e6914,1,1240,buy_or_sell
0a9f05842ad0d94a9524d373bcd44ebb,-1,1240,buy_or_sell
eb54a8d4fb0f1ffb695d02258cb5ee9a,1,1240,buy_or_sell
b927c3c476502b9427d20333e65238a4,-1,1240,buy_or_sell
27782f8e0718e85c519955d0a6b8fc6f,1,1240,buy_or_sell
9310679921502307be33a2d79fba7b15,-1,1240,buy_or_sell
09991260b0c20baecc14dba14ae4bc00,1,1240,buy_or_sell
b175569b3538494a7266a84417822116,-1,1240,buy_or_sell
8b2beb90740511744c7a2ca8f0e5d817,1,1240,buy_or_sell
d2d9c47b266754a15c4ac8e28a4a6cd3,-1,1240,buy_or_sell
02d68fe2fba550d561576bbbd020f6bc,0,1240,buy_or_sell
2d47f956ab5986f9ac8ae0f83027bce0,-1,1240,buy_or_sell
c20e7a77fe0c975ca02cfc26796b2975,0,1240,buy_or_sell
7090674ccbb04e67b499ace66b48c355,-1,1240,buy_or_sell
d521e75c0198e180cd11090e8520b5d0,0,1240,buy_or_sell
1a94f9fa20f74efaf7cdcb498dbd5d75,-1,1240,buy_or_sell
189ab3247bbe578acbb9c02f9f6127b5,0,1240,buy_or_sell
fa7923e014dd6a303b1039998c6c7123,-1,1240,buy_or_sell
cce94190aa3390de9144d955d8689def,0,1240,buy_or_sell
7fa6b26186a24f513ddbf123b2e6acdf,-1,1240,buy_or_sell
b4db3ad412abd0e4679e50889ecb0c5a,0,1240,buy_or_sell
f7bea6a9de86ed6ab4952ea8e78206b8,-1,1240,buy_or_sell
6aeb6148f54876c608a8567422652280,0,1258,buy_or_sell
4d9aeb90091580188a6eda6dcb912508,4,1259,buy_or_sell
0bd505fd11e7e45291650866152c9f31,-4,1259,buy_or_sell
843341d6de42e9e4e3a66b37fd123d2a,1,1259,buy_or_sell
62ca02665377c2a0b117a066e1cfdd69,-2,1259,buy_or_sell
b31d3453ca5cbcd14ccb0fef5c5389fb,1,1259,buy_or_sell
d07da5d9a86ac884f875c4265472ddaf,-1,1259,buy_or_sell
8844a880bba912b05c1be904558f0682,1,1259,buy_or_sell
d3d553db632b47202388cea8ba673010,0,1259,buy_or_sell
0f18997c179947ac4e31195fadf111d9,0,1259,buy_or_sell
aeeb1f897d397f888e899d5227175211,0,1259,buy_or_sell
3e863663621d594d0e23601fd9b0ff0e,0,1259,buy_or_sell
c90323b7a8da7ca5f32ad7a44af7d4bf,0,1259,buy_or_sell
df2913157e2b0fd887df37db92dc2397,0,1259,buy_or_sell
103e8e5efc227ac515454e7c45381e5b,0,1259,buy_or_sell
512afb4ec1fc8af3ce61b51ae4c20675,0,1259,buy_or_sell
15edfd555dfd3575c3c4e373a5fbfabb,0,1259,buy_or_sell
9f388f5ef1b21d5d58a41f6434b48daa,0,1259,buy_or_sell
3a9ba82615bf2e9d7037391bd9551655,0,1259,buy_or_sell
0f18997c179947ac4e31195fadf111d9,1,1264,buy_or_sell
12eb70d2807081785a5a802e8d3583a6,-3,1264,buy_or_sell
c89298b112f2030ccfe9c89542f06db2,1,1264,buy_or_sell
0bd505fd11e7e45291650866152c9f31,-2,1264,buy_or_sell
afdd35c91bc732fc468d1264f9c721fe,1,1264,buy_or_sell
d521e75c0198e180cd11090e8520b5d0,-1,1264,buy_or_sell
