:START_ID,:END_ID,:TYPE
700001,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700002,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700003,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700004,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700005,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700006,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700007,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700008,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700009,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700010,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700011,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700012,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700013,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700014,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700015,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700016,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700017,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700018,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700019,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700020,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700021,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700022,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700023,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700024,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700025,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700026,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700027,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700028,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700029,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
70002X,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700030,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700031,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700032,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
