dealer_id:ID,name,:LABEL
d2d9c47b266754a15c4ac8e28a4a6cd3,群益金鼎-彰化,Dealer
c06700ff9afbb6ee7ff92e772127f546,元大-員林中山,Dealer
4d9aeb90091580188a6eda6dcb912508,國泰-台南,Dealer
2875e0947b19a5c43ffced36d55b3706,臺銀-高雄,Dealer
523c18fe4d37846229c88e07cceb3f07,富邦-延吉,Dealer
6c02cc90a480dc9d5da0452b853517c7,元大-佳里,Dealer
e5eb48789c5f781894291422994a10d8,元大-南勢角,Dealer
a337294b755197a599dc4084bb203d19,兆豐-城中,Dealer
ce09ba914649547741e17fb509d11a56,永興-大墩,Dealer
3bbf15f5edb2dba1999ac2ebb9aaf82d,元富-宜蘭,Dealer
a4bf81986a59ea785f5100c00fd73273,群益金鼎-開元,Dealer
7d25c791a392abd8055b03985fc3537e,元大-西門,Dealer
612c64e5a270f1dc7716258034b4609d,統一,Dealer
4470d8c2ec255d5ecc8ffd77022c1184,元大-東泰,Dealer
121e6ec77b8d307bc199174488cfaebd,元富-城中,Dealer
ee9199973fce74176362768303a88ff9,台灣企銀-民雄,Dealer
6650c58fc8104ccea098bcb2255464a3,凱基-汐止,Dealer
b77458bad2c3592dd7aee56e515c3e4c,元大-長庚,Dealer
ff7b6e4eee058a51abbfd31624b3893c,群益金鼎-內湖,Dealer
a21c123929c7e5d11c53390ffb5b0a3a,台中銀-高雄,Dealer
13494a6b0eaa212b0d71462972c6320a,群益金鼎-桃園,Dealer
0710aed758078c2bcdaedd573da5813b,元富-板橋,Dealer
15fc3f5117286dac739bda97b8014515,華南永昌-合泰,Dealer
249ab1e0f791a8bfafa0a46f594bcabb,元大-土城永寧,Dealer
493ed19fe81636d0e7a13a3ecfbc4b09,台新證券,Dealer
05e8d38d3b09bddf094b3721cab88a45,元富-成功,Dealer
4e79606043b66de494991d055ff6ce99,華南永昌-楠梓,Dealer
8cbee1169118eedbc2160d2e46487051,永豐金-竹科,Dealer
23f8fbfed5347c8f4f6eca49968b3a3f,群益金鼎-松山,Dealer
9f87d2779ce13221f1853b41ae87822a,元大-善化,Dealer
7f1bccbce683fcafc7423235e4f2bf24,元大-鑫永和,Dealer
0d52b58232dbd2ad2b11187223135588,台灣企銀-建成,Dealer
bc151b975bdf514f1a209743e30c91bd,富邦-高雄,Dealer
289e26e5ec994dbcff1bd33cb8a240ce,康和-板橋,Dealer
9e25357571c3b00590de3fb4227b5824,光和-田中,Dealer
b447d75d0b7b071d497cb71be2616c98,華南永昌-古亭,Dealer
2846fc8f45241f4ec193580b8458fe45,陽信-石牌,Dealer
66f68a0e61b2fa5a8416b0ed57dab553,凱基-竹東,Dealer
811a003d1c6b4d215b2fab8a8f39f599,元大-路竹,Dealer
cce94190aa3390de9144d955d8689def,新光,Dealer
67ad7b356577d19259dc9b67b66a8f40,元大-文心,Dealer
ad488559ba50bcb918104cde6f6950fd,康和-石牌,Dealer
9243897136a1f1abe03d04be5a0f68b9,元大-莒光,Dealer
ee8f8d2d2d095b25ecc8282c683acf18,國票-嘉義,Dealer
3a486e0f0f8faba2c2d2f0660996bd84,大展,Dealer
294497b5b44c81eeb14035ea0ee6202a,永豐金-博愛,Dealer
389853c0ad5988f88b23e4528e02304f,凱基-屏東,Dealer
07fc18f14f9c1c854688905966fc48e6,富邦-苗栗,Dealer
3f755806c8336725cdc136b8f9c6796d,元大-敦南,Dealer
ef4804de2dade649ee407f8c3caf4899,宏遠-台中,Dealer
cf9958c08b025e72a559b1284b41262e,富邦-內湖,Dealer
c89415b8227e29228aabd6d468502a71,華南永昌-鶯歌,Dealer
d4632d94806f1c7ae9c5b3f25ade81a6,大慶-楊梅,Dealer
b97e261a57134e815c8abad68a09f744,國票-北高雄,Dealer
5eb256f915401e87e3726ffc29a0a2a9,兆豐-彰化,Dealer
d3b8734ef5852134930a11a4de07c488,富邦-左營,Dealer
6f1162f71f7e066d23c4d8c7ff6e0f01,群益金鼎-大安,Dealer
bc0d63ed49ddbb820acbb92145d5bb1a,元富-台南,Dealer
