stock_id:ID,name,code,market,:LABEL
711486,世界凱基01購01,711486,上櫃,Stock
711487,旺矽凱基01購01,711487,上櫃,Stock
711490,聯亞凱基01購02,711490,上櫃,Stock
711491,大學光兆豐9C購01,711491,上櫃,Stock
711494,旺矽元富9C購01,711494,上櫃,Stock
711495,信驊元富03購01,711495,上櫃,Stock
711496,原相元富03購01,711496,上櫃,Stock
711497,網家元富03購01,711497,上櫃,Stock
711499,M31國泰02購01,711499,上櫃,Stock
711500,新普國泰02購01,711500,上櫃,Stock
711501,雙鴻富邦9C購01,711501,上櫃,Stock
711502,譜瑞富邦02購01,711502,上櫃,Stock
711510,鈊象元大9C購06,711510,上櫃,Stock
711514,瓦城統一02購01,711514,上櫃,Stock
711515,雙鴻統一9C購03,711515,上櫃,Stock
711516,穩懋統一02購01,711516,上櫃,Stock
711517,譜瑞統一02購01,711517,上櫃,Stock
711519,凡甲凱基9C購01,711519,上櫃,Stock
711522,是方凱基9C購01,711522,上櫃,Stock
711523,聯亞凱基9C購02,711523,上櫃,Stock
711524,雙鴻凱基9C購01,711524,上櫃,Stock
711526,鈺太凱基02購01,711526,上櫃,Stock
711539,大田國票9C購01,711539,上櫃,Stock
711540,直得國票9C購01,711540,上櫃,Stock
711541,新普國票9C購01,711541,上櫃,Stock
711542,環球晶國票9C購03,711542,上櫃,Stock
711543,宏捷科兆豐9C購01,711543,上櫃,Stock
711544,精測兆豐9C購01,711544,上櫃,Stock
711545,晟德兆豐9C購01,711545,上櫃,Stock
711547,宏捷科國泰02購01,711547,上櫃,Stock
711548,優群國泰01購01,711548,上櫃,Stock
711549,晟德國泰02購01,711549,上櫃,Stock
711550,鈊象國泰02購01,711550,上櫃,Stock
711551,威剛群益01購01,711551,上櫃,Stock
711553,精測群益01購01,711553,上櫃,Stock
711554,宏捷科元大01購01,711554,上櫃,Stock
711555,原相元大01購03,711555,上櫃,Stock
711557,優群元大01購01,711557,上櫃,Stock
711560,六角統一02購01,711560,上櫃,Stock
711561,瓦城統一01購02,711561,上櫃,Stock
711562,直得統一02購01,711562,上櫃,Stock
711563,凡甲凱基02購01,711563,上櫃,Stock
711564,瓦城凱基02購01,711564,上櫃,Stock
711569,大學光國票01購01,711569,上櫃,Stock
711570,智擎國票01購01,711570,上櫃,Stock
711571,新鉅科國票01購01,711571,上櫃,Stock
711573,譜瑞中信06購01,711573,上櫃,Stock
711579,原相元富03購02,711579,上櫃,Stock
711580,智擎元富03購01,711580,上櫃,Stock
711583,元太兆豐01購01,711583,上櫃,Stock
711584,合晶兆豐01購01,711584,上櫃,Stock
711585,宜鼎兆豐01購01,711585,上櫃,Stock
711586,精華兆豐01購01,711586,上櫃,Stock
711589,瓦城群益01購01,711589,上櫃,Stock
711592,弘塑兆豐01購01,711592,上櫃,Stock
711596,原相元大01購04,711596,上櫃,Stock
711597,網家元大01購01,711597,上櫃,Stock
711600,M31富邦01購01,711600,上櫃,Stock
711601,群聯國票01購01,711601,上櫃,Stock
711603,穩懋國票01購01,711603,上櫃,Stock
711605,譜瑞凱基02購01,711605,上櫃,Stock
711606,精測麥證01購01,711606,上櫃,Stock
711607,伍豐統一02購01,711607,上櫃,Stock
711608,原相統一01購02,711608,上櫃,Stock
711616,宏捷科富邦01購01,711616,上櫃,Stock
711617,頎邦富邦02購01,711617,上櫃,Stock
711620,智擎中信02購01,711620,上櫃,Stock
711623,旺矽永豐01購01,711623,上櫃,Stock
711627,M31統一01購01,711627,上櫃,Stock
711628,伍豐統一01購01,711628,上櫃,Stock
711629,智擎統一02購01,711629,上櫃,Stock
711631,譜瑞統一02購02,711631,上櫃,Stock
711633,力旺凱基01購01,711633,上櫃,Stock
711634,宏捷科凱基01購01,711634,上櫃,Stock
711636,網家凱基02購01,711636,上櫃,Stock
711642,M31凱基01購01,711642,上櫃,Stock
711645,優群凱基01購01,711645,上櫃,Stock
711648,智擎國泰02購01,711648,上櫃,Stock
711651,新普富邦01購01,711651,上櫃,Stock
711652,穩懋富邦01購02,711652,上櫃,Stock
711654,元太中信06購01,711654,上櫃,Stock
711662,信昌電國票01購01,711662,上櫃,Stock
711663,網家國票01購01,711663,上櫃,Stock
711664,聯亞國票01購01,711664,上櫃,Stock
711665,穩懋國票01購02,711665,上櫃,Stock
711666,鈊象國票01購01,711666,上櫃,Stock
711667,鈊象兆豐01購01,711667,上櫃,Stock
711669,碩禾元富03購01,711669,上櫃,Stock
711671,大江統一01購01,711671,上櫃,Stock
711672,邦特統一01購01,711672,上櫃,Stock
711673,信驊統一02購01,711673,上櫃,Stock
711674,原相統一01購03,711674,上櫃,Stock
711675,智擎統一01購01,711675,上櫃,Stock
711676,緯軟統一01購01,711676,上櫃,Stock
711677,璟德統一02購01,711677,上櫃,Stock
711678,穩懋統一01購03,711678,上櫃,Stock
711680,鈊象麥證01購01,711680,上櫃,Stock
711681,大江國泰02購01,711681,上櫃,Stock
711682,合晶國泰02購01,711682,上櫃,Stock
711684,群聯群益01購01,711684,上櫃,Stock
711685,精測群益01購02,711685,上櫃,Stock
711687,鈊象富邦01購01,711687,上櫃,Stock
711688,原相凱基02購01,711688,上櫃,Stock
711689,神盾凱基02購01,711689,上櫃,Stock
711690,精測凱基02購01,711690,上櫃,Stock
711692,環球晶凱基02購01,711692,上櫃,Stock
711693,穩懋凱基02購01,711693,上櫃,Stock
711694,譜瑞凱基01購01,711694,上櫃,Stock
711695,鈊象凱基02購01,711695,上櫃,Stock
711696,中美晶國票01購01,711696,上櫃,Stock
711697,晶焱國票01購01,711697,上櫃,Stock
711699,大江統一01購02,711699,上櫃,Stock
711700,中美晶統一02購01,711700,上櫃,Stock
711701,元太統一03購01,711701,上櫃,Stock
711702,合晶統一02購01,711702,上櫃,Stock
711703,旺矽統一02購01,711703,上櫃,Stock
711704,新普統一01購01,711704,上櫃,Stock
711715,M31元大01購01,711715,上櫃,Stock
711717,旺矽元大01購01,711717,上櫃,Stock
711721,博智元大01購01,711721,上櫃,Stock
711727,威剛兆豐01購01,711727,上櫃,Stock
711728,雙鴻兆豐01購01,711728,上櫃,Stock
711729,晟德兆豐01購01,711729,上櫃,Stock
711730,鈺太兆豐01購01,711730,上櫃,Stock
711732,博智國泰02購01,711732,上櫃,Stock
711733,璟德國泰02購01,711733,上櫃,Stock
711734,雙鴻國泰02購01,711734,上櫃,Stock
711735,晟德國泰02購02,711735,上櫃,Stock
711736,環球晶中信03購01,711736,上櫃,Stock
711745,新普元大01購01,711745,上櫃,Stock
711747,大江群益01購01,711747,上櫃,Stock
711748,欣銓群益01購01,711748,上櫃,Stock
711750,精測群益01購03,711750,上櫃,Stock
711754,環球晶群益01購01,711754,上櫃,Stock
711755,M31國票01購01,711755,上櫃,Stock
